Model,MXO44
SerialNumber,200834
 
SourceType,CHANNEL_TRACE
SignalSource,Ch1Wfm1
Resolution,1e-09
RecordLength,200000000
HWRecordLength,200000000
HorizontalPosition,0
TraceArithmetics,SINGLE
BaseUnit,LEVEL_V
BaseUnitRelative,OFF
Impedance,50
XStart,-0.02
XStop,0.18000000000000002
TimebaseScale,0.02
ReferencePoint,10
VerticalPosition,-2.66
VerticalScale,2
VerticalOffset,-0.009899999999999999
BaseYStart,-4.6899
BaseYStop,15.3101
ViewUnit,LEVEL_V
ViewUnitRelative,OFF
ViewReferenceLevel,0
NumericFormat,DECIMAL
EnhancementMode,INTERPOLATED_TIME
InterpolationMode,SIN_X_DIV_X
CenterFreq,500.00000000000006
FreqSpan,1000
ResolutionBW,1
FrequencyStart,0
FrequencyStop,0
WindowType,GAUSSIAN
GateRBWCoupling,KEEP_GATE
HorizontalDivisionCount,10
VerticalDivisionCount,10
FirmwareVersion,2.0.3.0
XAxisMode,LINEAR
,
,
,
TIME,C1
-0.02000002,0.08807459076472046
-0.0200000192,0.0892961886147079
-0.0200000184,0.09112858538968993
-0.0200000176,0.09082318592719307
-0.0200000168,0.08960158807720564
-0.020000016,0.08960158807720564
-0.0200000152,0.08837999022721732
-0.0200000144,0.08654759345223617
-0.020000013599999998,0.08471519667725413
-0.020000012799999998,0.08227200097727838
-0.020000011999999998,0.07891260688981205
-0.020000011199999997,0.07555321280234573
-0.020000010399999997,0.07066682140239422
-0.020000009599999997,0.06700202785243103
-0.020000008799999996,0.06516963107744989
-0.020000007999999996,0.06181023698998356
-0.020000007199999996,0.05906164182751095
-0.020000006399999996,0.05906164182751095
-0.020000005599999995,0.05875624236501409
-0.020000004799999995,0.056313046665038335
-0.020000003999999995,0.05295365257757201
-0.020000003199999995,0.05142665526508683
-0.020000002399999994,0.04959425849010568
-0.020000001599999994,0.0480672611776205
-0.020000000799999994,0.04501326655265103
-0.019999999999999993,0.04287547031517214
-0.019999999199999993,0.041653872465184705
-0.019999998399999993,0.04043227461519727
-0.019999997599999993,0.03951607622770581
-0.019999996799999992,0.038905277302712094
-0.019999995999999992,0.038599877840215235
-0.019999995199999992,0.03829447837771838
-0.01999999439999999,0.03646208160273634
-0.01999999359999999,0.035851282677742624
-0.01999999279999999,0.03798907891522152
-0.01999999199999999,0.03921067676520895
-0.01999999119999999,0.03798907891522152
-0.01999999039999999,0.03646208160273634
-0.01999998959999999,0.03493508429025205
-0.01999998879999999,0.03218648912777944
-0.01999998799999999,0.0303540923527974
-0.01999998719999999,0.029437893965306827
-0.01999998639999999,0.030048692890300543
-0.01999998559999999,0.0324918885902763
-0.01999998479999999,0.03310268751527001
-0.019999983999999988,0.03188108966528258
-0.019999983199999988,0.03340808697776687
-0.019999982399999987,0.034324285365258334
